BLOCK,PLOT,TREATMENT,SPECIES,STEMS,STEMS (HIGH),COVER,NOTES
13,B,NC,DITE,13,,,
13,B,NC,PINWEED,56,,,
13,B,NC,DICO,12,,,
13,B,NC,ARISTIDA,4,,,
13,B,NC,PANO,4,,,
13,1,C,DITE,4,78,,
13,1,C,PINWEED,5,,,
13,1,C,DICO,15,,,
13,4,C,SIMILAX (CAT),3,,,
13,4,C,DITE,5,45,,
13,4,C,PANO,8,,,
13,4,C,DICO,6,,,
13,4,C,PINWEED,11,,,
13,3,NC,SPARKLE BERRY,1,,,
13,3,NC,SIMILAX (CAT),6,,,
13,3,NC,PANO,7,,,
13,3,NC,TROPICAL CROTON,1,,,
13,3,NC,RUB,1,,,
13,3,NC,PINWEED,16,,,
13,3,NC,ERIG,2,,,
13,3,NC,MILKPEA,3,,,
13,3,NC,DICO,9,,,
13,3,NC,SHARP BASAL,4,,,
13,3,NC,DESMODIUM,1,,,
13,6,NP,DITE,29,,,
13,6,NP,PINWEED,25,,,
13,6,NP,PANO,7,,,
13,6,NP,RUST,8,,,
13,6,NP,SIMILAX (CAT),3,,,
13,6,NP,HAWTHORN,2,,,
13,6,NP,DICO,4,,,
13,5,C,DICO,15,,,
13,5,C,PANO,8,,,
13,5,C,PINWEED,9,,,
13,2,NC,SIMILAX (CAT),6,,,
13,2,NC,PIGR,9,,,
13,2,NC,PANO,8,,,
13,2,NC,PINWEED,37,,,
13,2,NC,CHFA,3,,,
13,2,NC,CUD,3,,,
13,2,NC,DITE,25,,,
13,2,NC,DICO,18,,,
13,A,C,SIMILAX (CAT),6,,,
13,A,C,DITE,4,56,,
13,A,C,PANICKGRASS,1,,,